Nombre,U.A.,Valores,Tratamiento
C6-WT,23.37402307,1,WT
C6-U1,36.6646818,1.5686,eGFP
C6-DMSO,21.11276517,0.9033,DMSO
C6-8-HQ 0.9 µm,17.00558243,0.7275,0.9 µM 8-HQ
C6-U4,16.57424637,0.7091,tGAS1
C6-DUAL,11.22143655,0.4801,tGAS1+0.9 µM 8-HQ
C6-WT,21.198914,1,WT
C6-U1,25.88561,1.2211,eGFP
C6-DMSO,18.163247,0.8568,DMSO
C6-8-HQ 0.9 µm,17.256398,0.814,0.9 µM 8-HQ
C6-U4,19.147852,0.9032,tGAS1
C6-DUAL,9.136524,0.431,tGAS1+0.9 µM 8-HQ
C6-WT,22.365298,1,WT
C6-U1,27.546321,1.2317,eGFP
C6-DMSO,18.193233,0.8135,DMSO
C6-8-HQ 0.9 µm,15.299987,0.6841,0.9 µM 8-HQ
C6-U4,17.145635,0.7666,tGAS1
C6-DUAL,8.636652,0.3862,tGAS1+0.9 µM 8-HQ
